X [mm],Y [mm],Z [mm],Heading [degrees],Filename,Grid X,Grid Y,Grid Z
3200,3600,0,-90,320_360.jpg,8,9,0
3200,4000,0,-90,320_400.jpg,8,10,0
3200,4400,0,-90,320_440.jpg,8,11,0
3200,4800,0,-90,320_480.jpg,8,12,0
3200,5200,0,-90,320_520.jpg,8,13,0
3200,5600,0,-90,320_560.jpg,8,14,0
3600,0,0,-90,360_0.jpg,9,0,0
3600,400,0,-90,360_40.jpg,9,1,0
3600,800,0,-90,360_80.jpg,9,2,0
3600,1200,0,-90,360_120.jpg,9,3,0
3600,1600,0,-90,360_160.jpg,9,4,0
3600,2000,0,-90,360_200.jpg,9,5,0
3600,2400,0,-90,360_240.jpg,9,6,0
3600,2800,0,-90,360_280.jpg,9,7,0
3600,3200,0,-90,360_320.jpg,9,8,0
3600,3600,0,-90,360_360.jpg,9,9,0
3600,4000,0,-90,360_400.jpg,9,10,0
3600,4400,0,-90,360_440.jpg,9,11,0
3600,4800,0,-90,360_480.jpg,9,12,0
3600,5200,0,-90,360_520.jpg,9,13,0
3600,5600,0,-90,360_560.jpg,9,14,0
4000,0,0,-90,400_0.jpg,10,0,0
4000,400,0,-90,400_40.jpg,10,1,0
4000,800,0,-90,400_80.jpg,10,2,0
4000,1200,0,-90,400_120.jpg,10,3,0
4000,1600,0,-90,400_160.jpg,10,4,0
4000,2000,0,-90,400_200.jpg,10,5,0
4000,2400,0,-90,400_240.jpg,10,6,0
4000,2800,0,-90,400_280.jpg,10,7,0
4000,3200,0,-90,400_320.jpg,10,8,0
4000,3600,0,-90,400_360.jpg,10,9,0
4000,4000,0,-90,400_400.jpg,10,10,0
4000,4400,0,-90,400_440.jpg,10,11,0
4000,4800,0,-90,400_480.jpg,10,12,0
4000,5200,0,-90,400_520.jpg,10,13,0
4000,5600,0,-90,400_560.jpg,10,14,0
4400,0,0,-90,440_0.jpg,11,0,0
4400,400,0,-90,440_40.jpg,11,1,0
4400,800,0,-90,440_80.jpg,11,2,0
4400,1200,0,-90,440_120.jpg,11,3,0
4400,1600,0,-90,440_160.jpg,11,4,0
4400,2000,0,-90,440_200.jpg,11,5,0
4400,2400,0,-90,440_240.jpg,11,6,0
4400,2800,0,-90,440_280.jpg,11,7,0
4400,3200,0,-90,440_320.jpg,11,8,0
4400,3600,0,-90,440_360.jpg,11,9,0
4400,4000,0,-90,440_400.jpg,11,10,0
4400,4400,0,-90,440_440.jpg,11,11,0
4400,4800,0,-90,440_480.jpg,11,12,0
4400,5200,0,-90,440_520.jpg,11,13,0
4400,5600,0,-90,440_560.jpg,11,14,0
4800,0,0,-90,480_0.jpg,12,0,0
4800,400,0,-90,480_40.jpg,12,1,0
4800,800,0,-90,480_80.jpg,12,2,0
4800,1200,0,-90,480_120.jpg,12,3,0
4800,1600,0,-90,480_160.jpg,12,4,0
4800,2000,0,-90,480_200.jpg,12,5,0
4800,2400,0,-90,480_240.jpg,12,6,0
4800,2800,0,-90,480_280.jpg,12,7,0
4800,3200,0,-90,480_320.jpg,12,8,0
4800,3600,0,-90,480_360.jpg,12,9,0
4800,4000,0,-90,480_400.jpg,12,10,0
4800,4400,0,-90,480_440.jpg,12,11,0
4800,4800,0,-90,480_480.jpg,12,12,0
4800,5200,0,-90,480_520.jpg,12,13,0
4800,5600,0,-90,480_560.jpg,12,14,0
